source,target,weight
1,2,0.1118
2,4,0.1015
3,16,0.1151
4,76,0.1293
4,30,0.0705
4,14,0.0527
5,18,0.1211
6,149,0.1259
6,22,0.0758
6,14,0.0866
7,114,0.0969
7,40,0.189
8,117,0.2478
8,42,0.2305
8,41,0.1992
8,13,0.1359
9,153,0.0931
9,129,0.0435
9,128,0.0416
11,28,0.1009
12,139,0.0987
13,40,0.0983
13,169,0.0979
13,7,0.0916
13,42,0.0959
13,117,0.1139
14,39,0.1022
14,149,0.0773
14,76,0.0896
14,52,0.0371
14,127,0.0944
15,44,0.102
15,151,0.0398
15,152,0.0394
17,5,0.0964
17,153,0.113
17,154,0.0881
18,22,0.135
18,6,0.1509
18,109,0.1324
19,14,0.1056
19,4,0.0981
19,137,0.0732
19,77,0.0962
20,19,0.1268
20,165,0.0386
20,101,0.0596
21,132,0.1228
21,90,0.1195
22,30,0.1136
22,149,0.0548
22,4,0.077
22,52,0.0678
23,165,0.1194
24,166,0.0936
25,103,0.1052
26,27,0.1026
26,32,0.0307
26,155,0.0809
27,6,0.108
28,169,0.039
29,21,0.1085
29,38,0.1031
29,137,0.0319
30,29,0.1259
30,165,0.1142
30,76,0.092
31,155,0.0776
31,26,0.0336
31,160,0.0337
32,160,0.031
33,32,0.1072
34,128,0.1184
35,77,0.107
36,158,0.1035
37,130,0.1076
38,92,0.1107
39,164,0.1053
39,109,0.0706
40,162,0.1247
41,43,0.0968
41,7,0.157
41,117,0.0472
42,12,0.1006
42,117,0.0161
42,41,0.0294
42,40,0.0105
43,100,0.1018
44,41,0.1054
44,169,0.1198
44,124,0.113
44,42,0.1028
44,8,0.2395
45,93,0.1024
45,106,0.0778
46,152,0.1161
46,162,0.1179
47,65,0.1121
48,49,0.0928
49,54,0.0961
50,74,0.1064
51,73,0.1177
52,3,0.1076
52,30,0.0552
53,150,0.0834
54,56,0.0955
55,53,0.0997
56,57,0.0892
57,68,0.0879
58,67,0.0882
59,58,0.0916
60,17,0.0917
61,64,0.0934
62,111,0.0999
62,70,0.0998
64,63,0.0726
65,48,0.0958
65,72,0.0892
66,55,0.0939
67,66,0.0897
68,69,0.1029
69,60,0.0954
70,59,0.1169
71,61,0.0255
72,159,0.103
72,48,0.0047
72,162,1.0
73,71,0.0866
74,82,0.1052
75,51,0.1158
76,36,0.1101
77,52,0.1065
77,14,0.0898
77,22,0.1063
78,46,0.1062
78,107,0.0421
79,95,0.1008
80,79,0.1156
81,99,0.1179
82,81,0.1007
83,87,0.0982
84,13,0.0918
85,90,0.1043
85,37,0.1123
86,78,0.143
87,88,0.0963
88,75,0.1008
89,147,0.1043
89,92,0.097
90,132,0.0446
91,89,0.1222
91,163,0.094
92,37,0.101
92,85,0.1033
92,147,0.0966
93,80,0.099
93,106,0.0324
94,86,0.1012
95,98,0.0963
96,94,0.1199
97,101,0.1146
98,119,0.1022
98,144,0.0119
99,84,0.1067
100,83,0.1045
101,137,0.1087
101,19,0.1616
101,29,0.0753
102,24,0.113
103,23,0.1132
104,148,0.1089
104,147,0.083
104,108,0.1131
105,104,0.1165
106,131,0.049
106,93,0.0324
107,105,0.1066
107,46,0.0704
108,146,0.0953
108,45,0.1082
108,148,0.0934
109,161,0.1069
109,22,0.0395
110,160,0.0293
111,11,0.0973
112,8,0.1417
113,116,0.1241
114,113,0.1057
115,112,0.0985
116,144,0.0782
117,125,0.1196
117,40,0.0177
118,96,0.0889
118,145,0.0748
119,120,0.1134
120,122,0.1184
121,140,0.1159
122,141,0.1292
123,121,0.0979
124,7,0.2316
124,13,0.139
124,169,0.0425
124,41,0.0727
125,127,0.1121
126,124,0.1157
127,109,0.1145
127,39,0.0839
127,18,0.1282
128,153,0.0639
128,10,0.0251
129,156,0.0764
129,153,0.0653
130,106,0.1609
132,134,0.1165
133,163,0.1012
133,91,0.0448
134,136,0.1052
135,133,0.1168
137,102,0.1099
138,135,0.1066
139,168,0.1243
140,118,0.1183
141,142,0.108
143,10,0.0
143,128,0.0231
144,98,0.0119
145,115,0.1203
145,96,0.0241
146,85,0.1133
146,92,0.0933
147,15,0.1057
147,37,0.0128
147,148,0.024
148,97,0.0949
148,146,0.0226
149,126,0.1168
149,39,0.0614
150,61,0.0924
150,71,0.0657
151,45,0.1079
151,108,0.0571
151,44,0.0602
152,157,0.1052
152,44,0.0607
152,108,0.0566
153,62,0.0993
153,5,0.0765
153,167,0.0806
154,143,0.1115
154,5,0.049
155,34,0.0961
156,33,0.0988
157,35,0.1065
158,151,0.1052
159,50,0.1154
160,155,0.0814
161,110,0.1106
162,108,0.0905
162,151,0.0328
162,13,0.1677
162,40,0.1247
162,152,0.0334
163,20,0.1058
164,167,0.1098
165,38,0.1147
165,29,0.0108
165,19,0.0866
167,70,0.1079
167,62,0.0179
167,154,0.0486
168,154,0.1013
168,167,0.0508
168,17,0.0693
169,40,0.0275
169,7,0.1913
169,41,0.036
