source,target,weight
4,76.0,0.1293
4,30.0,0.0705
4,14.0,0.0527
4,22.0,0.077
14,39.0,0.1022
14,149.0,0.0773
14,76.0,0.0896
14,52.0,0.0371
14,127.0,0.0944
14,77.0,0.0898
17,60.0,0.0917
17,168.0,0.0693
18,22.0,0.135
18,109.0,0.1324
18,127.0,0.1282
149,22.0,0.0548
149,126.0,0.1168
149,39.0,0.0614
22,30.0,0.1136
22,52.0,0.0678
22,77.0,0.1063
22,109.0,0.0395
30,76.0,0.092
30,52.0,0.0552
164,39.0,0.1053
39,109.0,0.0706
39,127.0,0.0839
52,77.0,0.1065
59,70.0,0.1169
62,111.0,0.0999
62,70.0,0.0998
109,127.0,0.1145
