source,target,weight
1,2.0,0.1118
2,4.0,0.1015
3,52.0,0.1076
4,76.0,0.1293
4,30.0,0.0705
4,14.0,0.0527
4,19.0,0.0981
4,22.0,0.077
5,18.0,0.1211
5,153.0,0.0765
6,149.0,0.1259
6,22.0,0.0758
6,14.0,0.0866
6,18.0,0.1509
6,27.0,0.108
132,21.0,0.1228
137,19.0,0.0732
137,29.0,0.0319
137,101.0,0.1087
137,102.0,0.1099
14,39.0,0.1022
14,149.0,0.0773
14,76.0,0.0896
14,52.0,0.0371
14,127.0,0.0944
14,19.0,0.1056
14,77.0,0.0898
18,22.0,0.135
18,109.0,0.1324
18,127.0,0.1282
19,77.0,0.0962
19,20.0,0.1268
19,101.0,0.1616
19,165.0,0.0866
20,165.0,0.0386
20,101.0,0.0596
149,22.0,0.0548
149,126.0,0.1168
149,39.0,0.0614
22,30.0,0.1136
22,52.0,0.0678
22,77.0,0.1063
22,109.0,0.0395
21,29.0,0.1085
23,165.0,0.1194
151,158.0,0.1052
24,102.0,0.113
29,38.0,0.1031
29,30.0,0.1259
29,101.0,0.0753
29,165.0,0.0108
30,165.0,0.1142
30,76.0,0.092
30,52.0,0.0552
158,36.0,0.1035
157,35.0,0.1065
161,109.0,0.1069
35,77.0,0.107
36,76.0,0.1101
165,38.0,0.1147
38,92.0,0.1107
39,164.0,0.1053
39,109.0,0.0706
39,127.0,0.0839
52,77.0,0.1065
97,101.0,0.1146
109,127.0,0.1145
125,127.0,0.1121
