source,target,weight
4,76.0,0.1293
4,30.0,0.0705
4,14.0,0.0527
4,22.0,0.077
5,18.0,0.1211
6,149.0,0.1259
6,22.0,0.0758
6,14.0,0.0866
6,18.0,0.1509
6,27.0,0.108
7,40.0,0.189
7,13.0,0.0916
7,169.0,0.1913
13,40.0,0.0983
13,169.0,0.0979
13,42.0,0.0959
13,117.0,0.1139
13,162.0,0.1677
14,39.0,0.1022
14,149.0,0.0773
14,76.0,0.0896
14,52.0,0.0371
14,127.0,0.0944
14,77.0,0.0898
146,108.0,0.0953
146,148.0,0.0226
18,22.0,0.135
18,109.0,0.1324
18,127.0,0.1282
148,104.0,0.1089
148,108.0,0.0934
149,22.0,0.0548
149,126.0,0.1168
149,39.0,0.0614
22,30.0,0.1136
22,52.0,0.0678
22,77.0,0.1063
22,109.0,0.0395
151,45.0,0.1079
151,108.0,0.0571
151,162.0,0.0328
152,46.0,0.1161
152,108.0,0.0566
152,162.0,0.0334
26,27.0,0.1026
30,76.0,0.092
30,52.0,0.0552
159,72.0,0.103
161,109.0,0.1069
161,110.0,0.1106
162,40.0,0.1247
162,46.0,0.1179
162,72.0,1.0
162,108.0,0.0905
164,39.0,0.1053
39,109.0,0.0706
39,127.0,0.0839
40,42.0,0.0105
40,117.0,0.0177
40,169.0,0.0275
42,117.0,0.0161
45,108.0,0.1082
46,78.0,0.1062
46,107.0,0.0704
48,65.0,0.0958
48,72.0,0.0047
52,77.0,0.1065
65,72.0,0.0892
78,107.0,0.0421
104,108.0,0.1131
109,127.0,0.1145
117,125.0,0.1196
125,127.0,0.1121
