timestamp,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2023-01-01 00:00:00,94,102,92,89,84
2023-01-01 00:15:00,84,77,105,66,115
2023-01-01 00:30:00,75,155,112,110,100
2023-01-01 00:45:00,151,106,55,127,101
2023-01-01 01:00:00,91,100,113,141,116
2023-01-01 01:15:00,53,129,131,85,95
2023-01-01 01:30:00,80,104,132,99,97
2023-01-01 01:45:00,133,88,96,99,91
2023-01-01 02:00:00,102,94,72,87,89
2023-01-01 02:15:00,104,99,90,144,74
2023-01-01 02:30:00,91,83,108,109,70
2023-01-01 02:45:00,112,56,110,125,103
2023-01-01 03:00:00,104,93,133,102,130
2023-01-01 03:15:00,108,89,65,103,94
2023-01-01 03:30:00,118,130,106,139,102
2023-01-01 03:45:00,91,111,97,96,82
2023-01-01 04:00:00,105,70,98,137,116
2023-01-01 04:15:00,98,112,117,140,108
2023-01-01 04:30:00,69,116,79,102,106
2023-01-01 04:45:00,92,100,100,87,107
2023-01-01 05:00:00,96,95,111,111,91
2023-01-01 05:15:00,113,102,102,81,119
2023-01-01 05:30:00,104,104,81,71,109
2023-01-01 05:45:00,75,92,67,120,97
2023-01-01 06:00:00,105,82,76,90,131
2023-01-01 06:15:00,129,69,96,85,115
2023-01-01 06:30:00,86,107,79,62,120
2023-01-01 06:45:00,71,121,105,117,103
2023-01-01 07:00:00,80,139,91,115,88
2023-01-01 07:15:00,112,115,92,107,112
2023-01-01 07:30:00,127,98,109,81,106
2023-01-01 07:45:00,125,85,103,89,142
2023-01-01 08:00:00,111,123,69,103,99
2023-01-01 08:15:00,126,96,84,111,103
2023-01-01 08:30:00,128,106,71,102,78
2023-01-01 08:45:00,82,135,98,74,99
2023-01-01 09:00:00,77,115,117,120,97
2023-01-01 09:15:00,112,79,132,85,125
2023-01-01 09:30:00,89,57,102,139,88
2023-01-01 09:45:00,126,90,97,96,92
2023-01-01 10:00:00,101,98,110,75,108
2023-01-01 10:15:00,105,94,140,79,88
2023-01-01 10:30:00,90,129,146,95,95
2023-01-01 10:45:00,50,120,113,71,102
2023-01-01 11:00:00,124,123,102,99,93
2023-01-01 11:15:00,126,130,103,114,106
2023-01-01 11:30:00,117,93,94,110,120
2023-01-01 11:45:00,99,91,82,106,66
2023-01-01 12:00:00,126,130,89,105,147
2023-01-01 12:15:00,125,135,94,84,94
2023-01-01 12:30:00,80,113,91,119,104
2023-01-01 12:45:00,117,91,97,79,90
2023-01-01 13:00:00,97,117,100,121,75
2023-01-01 13:15:00,119,80,95,91,66
2023-01-01 13:30:00,99,71,86,85,108
2023-01-01 13:45:00,95,131,116,88,110
2023-01-01 14:00:00,69,109,129,142,85
2023-01-01 14:15:00,95,126,69,118,133
2023-01-01 14:30:00,93,94,56,97,76
2023-01-01 14:45:00,128,127,133,79,97
2023-01-01 15:00:00,83,100,103,114,76
2023-01-01 15:15:00,73,91,104,99,71
2023-01-01 15:30:00,103,101,111,89,96
2023-01-01 15:45:00,91,130,84,157,129
2023-01-01 16:00:00,97,101,81,141,127
2023-01-01 16:15:00,91,91,61,126,67
2023-01-01 16:30:00,119,127,102,110,80
2023-01-01 16:45:00,81,127,114,97,98
2023-01-01 17:00:00,113,91,131,82,99
